split,scenario_id,timestamp_s,serving_gnb,ue_ids,teacher_group_count,teacher_groups,hard_group_signature,teacher_gain_vs_single
focus_train,simu5g_00000350,18.8,gnb_2,3|4,1,"[[""4"", ""3""]]",3|4,0.0
focus_train,simu5g_00000352,18.9,gnb_2,3|4,1,"[[""4"", ""3""]]",3|4,0.0
focus_train,simu5g_00000354,19.0,gnb_2,3|4,1,"[[""4"", ""3""]]",3|4,0.0
focus_train,simu5g_00000356,19.1,gnb_2,3|4,1,"[[""4"", ""3""]]",3|4,0.0
focus_train,simu5g_00000358,19.2,gnb_2,3|4,1,"[[""4"", ""3""]]",3|4,0.0
focus_train,simu5g_00000360,19.3,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000362,19.4,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000364,19.5,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000366,19.6,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000368,19.7,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000370,19.8,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000372,19.9,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000374,20.0,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000376,20.1,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000378,20.2,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000380,20.3,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000382,20.4,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000384,20.5,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000386,20.6,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000388,20.7,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000390,20.8,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000392,20.9,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000394,21.0,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000396,21.1,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000398,21.2,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000400,21.3,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000402,21.4,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000404,21.5,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000406,21.6,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000408,21.7,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000410,21.8,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000412,21.9,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000414,22.0,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000416,22.1,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000418,22.2,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000420,22.3,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000422,22.4,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000424,22.5,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000426,22.6,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000428,22.7,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000430,22.8,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000432,22.9,gnb_2,3|4|5,1,"[[""3"", ""4"", ""5""]]",3|4|5,0.0
focus_train,simu5g_00000434,23.0,gnb_2,4|5,1,"[[""4"", ""5""]]",4|5,0.0
focus_train,simu5g_00000436,23.1,gnb_2,4|5,1,"[[""4"", ""5""]]",4|5,0.0
focus_train,simu5g_00000438,23.2,gnb_2,4|5,1,"[[""4"", ""5""]]",4|5,0.0
focus_train,simu5g_00000440,23.3,gnb_2,4|5,1,"[[""4"", ""5""]]",4|5,0.0
focus_train,simu5g_00000442,23.4,gnb_2,4|5,1,"[[""4"", ""5""]]",4|5,0.0
focus_train,simu5g_00000444,23.5,gnb_2,4|5,1,"[[""4"", ""5""]]",4|5,0.0
focus_train,simu5g_00000446,23.6,gnb_2,4|5,1,"[[""4"", ""5""]]",4|5,0.0
focus_train,simu5g_00000448,23.7,gnb_2,4|5,1,"[[""5"", ""4""]]",4|5,0.0
focus_train,simu5g_00000450,23.8,gnb_2,4|5,1,"[[""5"", ""4""]]",4|5,0.0
focus_train,simu5g_00000452,23.9,gnb_2,4|5,1,"[[""5"", ""4""]]",4|5,0.0
focus_train,simu5g_00000454,24.0,gnb_2,3|4|5,1,"[[""5"", ""3"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000456,24.1,gnb_2,3|4|5,1,"[[""5"", ""3"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000458,24.2,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000460,24.3,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000462,24.4,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000464,24.5,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000466,24.6,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000468,24.7,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000470,24.8,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000472,24.9,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000474,25.0,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000476,25.1,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000478,25.2,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000480,25.3,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000482,25.4,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000484,25.5,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000486,25.6,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000488,25.7,gnb_2,3|4|5,1,"[[""3"", ""5"", ""4""]]",3|4|5,0.0
focus_train,simu5g_00000490,25.8,gnb_2,3|4|5|6,2,"[[""3"", ""6"", ""4""], [""5""]]",5,0.09440267226723498
focus_train,simu5g_00000492,25.9,gnb_2,3|4|5|6,1,"[[""3"", ""6"", ""4"", ""5""]]",3|4|5|6,-1.1102230246251565e-16
focus_train,simu5g_00000494,26.0,gnb_2,3|4|5|6,1,"[[""3"", ""6"", ""4"", ""5""]]",3|4|5|6,-1.1102230246251565e-16
focus_train,simu5g_00000496,26.1,gnb_2,3|4|5|6,1,"[[""3"", ""6"", ""4"", ""5""]]",3|4|5|6,-1.1102230246251565e-16
focus_train,simu5g_00000498,26.2,gnb_2,3|4|5|6,2,"[[""3"", ""6"", ""4""], [""5""]]",5,0.09440267226723498
focus_train,simu5g_00000500,26.3,gnb_2,3|4|5|6,1,"[[""3"", ""6"", ""4"", ""5""]]",3|4|5|6,-1.1102230246251565e-16
focus_train,simu5g_00000502,26.4,gnb_2,3|4|5|6,1,"[[""3"", ""6"", ""4"", ""5""]]",3|4|5|6,-1.1102230246251565e-16
focus_train,simu5g_00000504,26.5,gnb_2,3|4|5|6,1,"[[""3"", ""6"", ""4"", ""5""]]",3|4|5|6,-1.1102230246251565e-16
focus_train,simu5g_00000506,26.6,gnb_2,3|4|5|6,1,"[[""3"", ""6"", ""4"", ""5""]]",3|4|5|6,-1.1102230246251565e-16
focus_train,simu5g_00000508,26.7,gnb_2,3|4|5|6,1,"[[""3"", ""6"", ""4"", ""5""]]",3|4|5|6,-1.1102230246251565e-16
focus_train,simu5g_00000510,26.8,gnb_2,3|4|5|6,1,"[[""3"", ""6"", ""4"", ""5""]]",3|4|5|6,-1.1102230246251565e-16
focus_train,simu5g_00000512,26.9,gnb_2,3|4|5|6,1,"[[""3"", ""6"", ""4"", ""5""]]",3|4|5|6,-1.1102230246251565e-16
focus_train,simu5g_00000514,27.0,gnb_2,3|4|5|6,1,"[[""3"", ""6"", ""4"", ""5""]]",3|4|5|6,-1.1102230246251565e-16
focus_train,simu5g_00000516,27.1,gnb_2,3|4|5|6,2,"[[""3"", ""5"", ""6""], [""4""]]",4,0.044402672267235155
focus_train,simu5g_00000518,27.2,gnb_2,3|4|5|6,2,"[[""3"", ""5"", ""6""], [""4""]]",4,0.044402672267235155
focus_train,simu5g_00000520,27.3,gnb_2,3|4|5|6,2,"[[""3"", ""5"", ""6""], [""4""]]",4,0.044402672267235155
focus_test,simu5g_00000522,27.4,gnb_2,3|4|5|6,2,"[[""3"", ""5"", ""6""], [""4""]]",4,0.044402672267235155
focus_test,simu5g_00000524,27.5,gnb_2,3|4|5|6,2,"[[""3"", ""5"", ""6""], [""4""]]",4,0.044402672267235155
focus_test,simu5g_00000526,27.6,gnb_2,3|4|5|6,2,"[[""3"", ""5"", ""6""], [""4""]]",4,0.044402672267235155
