method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,pair_sampling,train_positive_pairs,train_negative_pairs,train_active_negative_ratio,train_mean_negative_distance,scenario_mode,load_level,rb_budget_ratio,kmax,seed,feature_mode,training_loads
No grouping,0.7972755432289418,6150.0,55.90351541622216,16.4,1.0,0.0,4.35,0.42699999999999994,0.22166666666666662,1.0,1.0,9,0.2254109894855536,random_balanced,138.2,120.9,0.8942789221870295,0.5175608686568963,ambiguous,light,0.5,3,17,history_cost,light+medium
CQI k-means,0.8293760792720999,6333.958333333334,40.19457028664442,16.890555555555558,1.0,0.0,4.38125,0.5680000000000001,0.18708333333333335,0.9260938796112977,2.25,9,0.2254109894855536,random_balanced,138.2,120.9,0.8942789221870295,0.5175608686568963,ambiguous,light,0.5,3,17,history_cost,light+medium
Resource-cost k-means,0.83350167164413,6514.791666666666,37.232729178206554,17.37277777777778,1.0,0.0,4.477083333333333,0.6080000000000001,0.20541666666666666,0.9520926697915082,2.3,9,0.2254109894855536,random_balanced,138.2,120.9,0.8942789221870295,0.5175608686568963,ambiguous,light,0.5,3,17,history_cost,light+medium
Multi-feature k-means,0.829965330171128,6422.1875,36.17050329047637,17.125833333333336,1.0,0.0,4.427083333333333,0.594,0.19624999999999998,0.9250318993252524,2.35,9,0.2254109894855536,random_balanced,138.2,120.9,0.8942789221870295,0.5175608686568963,ambiguous,light,0.5,3,17,history_cost,light+medium
Offline teacher,0.8438154485151941,6352.708333333334,27.618175184281018,16.940555555555555,1.0,0.0,4.364583333333332,0.688,0.17458333333333337,0.9419523762813709,2.9,9,0.2254109894855536,random_balanced,138.2,120.9,0.8942789221870295,0.5175608686568963,ambiguous,light,0.5,3,17,history_cost,light+medium
LE-GRA MVP,0.8312923118004625,6442.395833333333,36.77834220006175,17.17972222222222,1.0,0.0,4.427083333333334,0.599,0.19708333333333336,0.9337881810885584,2.35,9,0.2254109894855536,random_balanced,138.2,120.9,0.8942789221870295,0.5175608686568963,ambiguous,light,0.5,3,17,history_cost,light+medium
No grouping,0.7295439324707109,5857.5,56.23652001593179,31.24,1.0,0.0,4.1,0.59,0.23583333333333334,1.0,1.0,9,0.2254109894855536,random_balanced,138.2,120.9,0.8942789221870295,0.5175608686568963,ambiguous,medium,0.25,3,17,history_cost,light+medium
CQI k-means,0.798329797792477,6065.833333333334,44.325429630203715,32.35111111111111,1.0,0.0,4.195833333333333,0.836,0.17666666666666667,0.9060095556531138,1.95,9,0.2254109894855536,random_balanced,138.2,120.9,0.8942789221870295,0.5175608686568963,ambiguous,medium,0.25,3,17,history_cost,light+medium
Resource-cost k-means,0.7911877374441872,6192.291666666667,45.63168284738137,33.025555555555556,1.0,0.0,4.314583333333333,0.786,0.21041666666666664,0.9515128132053345,1.75,9,0.2254109894855536,random_balanced,138.2,120.9,0.8942789221870295,0.5175608686568963,ambiguous,medium,0.25,3,17,history_cost,light+medium
Multi-feature k-means,0.7956199214739197,6305.104166666666,51.87173144488362,33.627222222222215,1.0,0.0,4.320833333333334,0.7619999999999999,0.19916666666666666,0.8909606565552366,1.65,9,0.2254109894855536,random_balanced,138.2,120.9,0.8942789221870295,0.5175608686568963,ambiguous,medium,0.25,3,17,history_cost,light+medium
Offline teacher,0.8084963415834139,6000.104166666667,34.16523327624973,32.00055555555556,1.0,0.0,4.199999999999999,0.9560000000000001,0.17333333333333334,0.9264286902631902,2.4,9,0.2254109894855536,random_balanced,138.2,120.9,0.8942789221870295,0.5175608686568963,ambiguous,medium,0.25,3,17,history_cost,light+medium
LE-GRA MVP,0.7907718585785368,6068.645833333334,49.39492563150278,32.36611111111112,1.0,0.0,4.2333333333333325,0.754,0.1925,0.9226777968647321,1.65,9,0.2254109894855536,random_balanced,138.2,120.9,0.8942789221870295,0.5175608686568963,ambiguous,medium,0.25,3,17,history_cost,light+medium
No grouping,0.7812548205760318,6075.0,59.637450812653654,16.2,1.0,0.0,4.3,0.35300000000000004,0.2345833333333333,1.0,1.0,9,0.20678748443300682,random_balanced,135.8,121.75,0.8318400724895281,0.5911890349278027,ambiguous,light,0.5,3,23,history_cost,light+medium
CQI k-means,0.8383899420679366,6627.916666666666,41.398658037345875,17.674444444444447,1.0,0.0,4.535416666666667,0.5960000000000002,0.21083333333333334,0.9429052391017331,2.3,9,0.20678748443300682,random_balanced,135.8,121.75,0.8318400724895281,0.5911890349278027,ambiguous,light,0.5,3,23,history_cost,light+medium
Resource-cost k-means,0.8407445782441061,6653.645833333334,43.064426764209394,17.743055555555554,1.0,0.0,4.539583333333334,0.5830000000000001,0.21750000000000003,0.969688196569057,2.1,9,0.20678748443300682,random_balanced,135.8,121.75,0.8318400724895281,0.5911890349278027,ambiguous,light,0.5,3,23,history_cost,light+medium
Multi-feature k-means,0.8391633179716307,6661.770833333334,42.185185866976006,17.764722222222222,1.0,0.0,4.56875,0.5910000000000001,0.21916666666666665,0.9507403589151764,2.25,9,0.20678748443300682,random_balanced,135.8,121.75,0.8318400724895281,0.5911890349278027,ambiguous,light,0.5,3,23,history_cost,light+medium
Offline teacher,0.8471083982621448,6500.520833333334,28.426242793672067,17.334722222222222,1.0,0.0,4.45625,0.674,0.19416666666666665,0.9542006455907117,2.85,9,0.20678748443300682,random_balanced,135.8,121.75,0.8318400724895281,0.5911890349278027,ambiguous,light,0.5,3,23,history_cost,light+medium
LE-GRA MVP,0.8385362698323844,6591.666666666666,34.76822626710587,17.57777777777778,1.0,0.0,4.5166666666666675,0.638,0.20875,0.9466375937969802,2.6,9,0.20678748443300682,random_balanced,135.8,121.75,0.8318400724895281,0.5911890349278027,ambiguous,light,0.5,3,23,history_cost,light+medium
No grouping,0.7243355991373773,5857.5,59.90760084142437,31.24,1.0,0.0,4.1,0.5459999999999999,0.24625,1.0,1.0,9,0.20678748443300682,random_balanced,135.8,121.75,0.8318400724895281,0.5911890349278027,ambiguous,medium,0.25,3,23,history_cost,light+medium
CQI k-means,0.810223394351965,6331.770833333334,49.486454573068855,33.76944444444444,1.0,0.0,4.335416666666666,0.784,0.19416666666666665,0.9113941947186609,1.8,9,0.20678748443300682,random_balanced,135.8,121.75,0.8318400724895281,0.5911890349278027,ambiguous,medium,0.25,3,23,history_cost,light+medium
Resource-cost k-means,0.8082429300612066,6402.395833333334,55.52972857302781,34.146111111111104,1.0,0.0,4.420833333333333,0.6960000000000001,0.21791666666666668,0.9653882165288218,1.5,9,0.20678748443300682,random_balanced,135.8,121.75,0.8318400724895281,0.5911890349278027,ambiguous,medium,0.25,3,23,history_cost,light+medium
Multi-feature k-means,0.8096775185135716,6469.895833333334,58.77198363568088,34.50611111111112,1.0,0.0,4.437499999999999,0.6759999999999999,0.21041666666666664,0.9265748866291217,1.55,9,0.20678748443300682,random_balanced,135.8,121.75,0.8318400724895281,0.5911890349278027,ambiguous,medium,0.25,3,23,history_cost,light+medium
Offline teacher,0.820808586911286,6212.187499999999,34.290277429685325,33.13166666666666,1.0,0.0,4.285416666666667,0.976,0.18166666666666664,0.9358960283521413,2.55,9,0.20678748443300682,random_balanced,135.8,121.75,0.8318400724895281,0.5911890349278027,ambiguous,medium,0.25,3,23,history_cost,light+medium
LE-GRA MVP,0.8038293440831048,6174.166666666667,49.64278998088266,32.92888888888889,1.0,0.0,4.29375,0.776,0.19583333333333333,0.91932377506691,1.9,9,0.20678748443300682,random_balanced,135.8,121.75,0.8318400724895281,0.5911890349278027,ambiguous,medium,0.25,3,23,history_cost,light+medium
No grouping,0.6898701289261754,5015.0,38.74544050090796,13.373333333333335,1.0,0.0,3.75,0.562,0.2579166666666667,1.0,1.0,11,0.19587047302579344,random_balanced,139.9125,114.0875,0.8401005290404313,0.5457097384102177,ambiguous,light,0.5,3,9,history_cost_context,light+medium
CQI k-means,0.7689148138093833,5645.9375,27.35655441688683,15.05583333333333,1.0,0.0,3.989583333333333,0.716,0.20166666666666666,0.8933488310423737,2.6,11,0.19587047302579344,random_balanced,139.9125,114.0875,0.8401005290404313,0.5457097384102177,ambiguous,light,0.5,3,9,history_cost_context,light+medium
Resource-cost k-means,0.7815069359936564,6129.375,33.015974758895666,16.345000000000002,1.0,0.0,4.239583333333334,0.69,0.23916666666666667,0.904518017388587,2.2,11,0.19587047302579344,random_balanced,139.9125,114.0875,0.8401005290404313,0.5457097384102177,ambiguous,light,0.5,3,9,history_cost_context,light+medium
Multi-feature k-means,0.7748747479417781,5905.104166666666,31.70631401871747,15.746944444444443,1.0,0.0,4.158333333333334,0.6579999999999999,0.22541666666666665,0.8849425257682302,2.3,11,0.19587047302579344,random_balanced,139.9125,114.0875,0.8401005290404313,0.5457097384102177,ambiguous,light,0.5,3,9,history_cost_context,light+medium
Offline teacher,0.7929602354277356,5942.916666666666,21.246924827088367,15.847777777777775,1.0,0.0,4.137500000000001,0.817,0.20875,0.9071010431739795,3.0,11,0.19587047302579344,random_balanced,139.9125,114.0875,0.8401005290404313,0.5457097384102177,ambiguous,light,0.5,3,9,history_cost_context,light+medium
LE-GRA MVP,0.7869588665148262,5574.791666666667,23.131597089394436,14.866111111111113,1.0,0.0,3.9187499999999993,0.7310000000000001,0.17250000000000001,0.8921041677276198,2.6,11,0.19587047302579344,random_balanced,139.9125,114.0875,0.8401005290404313,0.5457097384102177,ambiguous,light,0.5,3,9,history_cost_context,light+medium
No grouping,0.554212768819211,4495.0,39.375494467406234,23.973333333333336,1.0,0.0,3.3,0.6020000000000001,0.2895833333333333,1.0,1.0,11,0.19587047302579344,random_balanced,139.9125,114.0875,0.8401005290404313,0.5457097384102177,ambiguous,medium,0.25,3,9,history_cost_context,light+medium
CQI k-means,0.7056160356323988,5323.020833333334,36.2036428266959,28.389444444444443,1.0,0.0,3.7854166666666664,0.8660000000000002,0.21333333333333332,0.8376243528200394,1.95,11,0.19587047302579344,random_balanced,139.9125,114.0875,0.8401005290404313,0.5457097384102177,ambiguous,medium,0.25,3,9,history_cost_context,light+medium
Resource-cost k-means,0.7166082121520355,5381.875,41.49653977844248,28.70333333333333,1.0,0.0,3.8770833333333328,0.792,0.22333333333333333,0.8989319705348997,1.75,11,0.19587047302579344,random_balanced,139.9125,114.0875,0.8401005290404313,0.5457097384102177,ambiguous,medium,0.25,3,9,history_cost_context,light+medium
Multi-feature k-means,0.716692312712914,5353.229166666666,38.11294802242372,28.550555555555555,1.0,0.0,3.83125,0.8240000000000002,0.2125,0.8665143574875446,1.85,11,0.19587047302579344,random_balanced,139.9125,114.0875,0.8401005290404313,0.5457097384102177,ambiguous,medium,0.25,3,9,history_cost_context,light+medium
Offline teacher,0.7322796242075484,5344.375,30.087266074304114,28.50333333333333,1.0,0.0,3.8250000000000006,0.9640000000000001,0.2004166666666667,0.8691491410041037,2.3,11,0.19587047302579344,random_balanced,139.9125,114.0875,0.8401005290404313,0.5457097384102177,ambiguous,medium,0.25,3,9,history_cost_context,light+medium
LE-GRA MVP,0.7116322168160554,5299.895833333334,33.21264055501427,28.26611111111111,1.0,0.0,3.7354166666666666,0.8860000000000003,0.19416666666666668,0.8535672780755965,2.15,11,0.19587047302579344,random_balanced,139.9125,114.0875,0.8401005290404313,0.5457097384102177,ambiguous,medium,0.25,3,9,history_cost_context,light+medium
No grouping,0.7972755432289418,6150.0,55.90351541622216,16.4,1.0,0.0,4.35,0.42699999999999994,0.22166666666666662,1.0,1.0,11,0.21371747466604324,random_balanced,138.2,120.9,0.8916941020036455,0.5387863506282722,ambiguous,light,0.5,3,17,history_cost_context,light+medium
CQI k-means,0.8293760792720999,6333.958333333334,40.19457028664442,16.890555555555558,1.0,0.0,4.38125,0.5680000000000001,0.18708333333333335,0.9260938796112977,2.25,11,0.21371747466604324,random_balanced,138.2,120.9,0.8916941020036455,0.5387863506282722,ambiguous,light,0.5,3,17,history_cost_context,light+medium
Resource-cost k-means,0.83350167164413,6514.791666666666,37.232729178206554,17.37277777777778,1.0,0.0,4.477083333333333,0.6080000000000001,0.20541666666666666,0.9520926697915082,2.3,11,0.21371747466604324,random_balanced,138.2,120.9,0.8916941020036455,0.5387863506282722,ambiguous,light,0.5,3,17,history_cost_context,light+medium
Multi-feature k-means,0.829965330171128,6422.1875,36.17050329047637,17.125833333333336,1.0,0.0,4.427083333333333,0.594,0.19624999999999998,0.9250318993252524,2.35,11,0.21371747466604324,random_balanced,138.2,120.9,0.8916941020036455,0.5387863506282722,ambiguous,light,0.5,3,17,history_cost_context,light+medium
Offline teacher,0.8438154485151941,6352.708333333334,27.618175184281018,16.940555555555555,1.0,0.0,4.364583333333332,0.688,0.17458333333333337,0.9419523762813709,2.9,11,0.21371747466604324,random_balanced,138.2,120.9,0.8916941020036455,0.5387863506282722,ambiguous,light,0.5,3,17,history_cost_context,light+medium
LE-GRA MVP,0.8351454519067278,5960.312499999999,27.658367503598743,15.894166666666669,1.0,0.0,4.145833333333334,0.6420000000000001,0.1475,0.9400707897750775,2.75,11,0.21371747466604324,random_balanced,138.2,120.9,0.8916941020036455,0.5387863506282722,ambiguous,light,0.5,3,17,history_cost_context,light+medium
No grouping,0.7295439324707109,5857.5,56.23652001593179,31.24,1.0,0.0,4.1,0.59,0.23583333333333334,1.0,1.0,11,0.21371747466604324,random_balanced,138.2,120.9,0.8916941020036455,0.5387863506282722,ambiguous,medium,0.25,3,17,history_cost_context,light+medium
CQI k-means,0.798329797792477,6065.833333333334,44.325429630203715,32.35111111111111,1.0,0.0,4.195833333333333,0.836,0.17666666666666667,0.9060095556531138,1.95,11,0.21371747466604324,random_balanced,138.2,120.9,0.8916941020036455,0.5387863506282722,ambiguous,medium,0.25,3,17,history_cost_context,light+medium
Resource-cost k-means,0.7911877374441872,6192.291666666667,45.63168284738137,33.025555555555556,1.0,0.0,4.314583333333333,0.786,0.21041666666666664,0.9515128132053345,1.75,11,0.21371747466604324,random_balanced,138.2,120.9,0.8916941020036455,0.5387863506282722,ambiguous,medium,0.25,3,17,history_cost_context,light+medium
Multi-feature k-means,0.7956199214739197,6305.104166666666,51.87173144488362,33.627222222222215,1.0,0.0,4.320833333333334,0.7619999999999999,0.19916666666666666,0.8909606565552366,1.65,11,0.21371747466604324,random_balanced,138.2,120.9,0.8916941020036455,0.5387863506282722,ambiguous,medium,0.25,3,17,history_cost_context,light+medium
Offline teacher,0.8084963415834139,6000.104166666667,34.16523327624973,32.00055555555556,1.0,0.0,4.199999999999999,0.9560000000000001,0.17333333333333334,0.9264286902631902,2.4,11,0.21371747466604324,random_balanced,138.2,120.9,0.8916941020036455,0.5387863506282722,ambiguous,medium,0.25,3,17,history_cost_context,light+medium
LE-GRA MVP,0.7994573289092658,5703.645833333334,34.88918129618072,30.41944444444444,1.0,0.0,4.008333333333334,0.8959999999999999,0.1425,0.9133194277144693,2.1,11,0.21371747466604324,random_balanced,138.2,120.9,0.8916941020036455,0.5387863506282722,ambiguous,medium,0.25,3,17,history_cost_context,light+medium
No grouping,0.7812548205760318,6075.0,59.637450812653654,16.2,1.0,0.0,4.3,0.35300000000000004,0.2345833333333333,1.0,1.0,12,0.19604998860657233,random_balanced,135.8,121.75,0.8266503668694908,0.6118293955254769,ambiguous,light,0.5,3,23,history_cost_context,light+medium
CQI k-means,0.8383899420679366,6627.916666666666,41.398658037345875,17.674444444444447,1.0,0.0,4.535416666666667,0.5960000000000002,0.21083333333333334,0.9429052391017331,2.3,12,0.19604998860657233,random_balanced,135.8,121.75,0.8266503668694908,0.6118293955254769,ambiguous,light,0.5,3,23,history_cost_context,light+medium
Resource-cost k-means,0.8407445782441061,6653.645833333334,43.064426764209394,17.743055555555554,1.0,0.0,4.539583333333334,0.5830000000000001,0.21750000000000003,0.969688196569057,2.1,12,0.19604998860657233,random_balanced,135.8,121.75,0.8266503668694908,0.6118293955254769,ambiguous,light,0.5,3,23,history_cost_context,light+medium
Multi-feature k-means,0.8391633179716307,6661.770833333334,42.185185866976006,17.764722222222222,1.0,0.0,4.56875,0.5910000000000001,0.21916666666666665,0.9507403589151764,2.25,12,0.19604998860657233,random_balanced,135.8,121.75,0.8266503668694908,0.6118293955254769,ambiguous,light,0.5,3,23,history_cost_context,light+medium
Offline teacher,0.8471083982621448,6500.520833333334,28.426242793672067,17.334722222222222,1.0,0.0,4.45625,0.674,0.19416666666666665,0.9542006455907117,2.85,12,0.19604998860657233,random_balanced,135.8,121.75,0.8266503668694908,0.6118293955254769,ambiguous,light,0.5,3,23,history_cost_context,light+medium
LE-GRA MVP,0.8494282104651656,6144.583333333333,30.72640943192,16.385555555555555,1.0,0.0,4.2375,0.6100000000000001,0.15291666666666667,0.9579234294056664,2.55,12,0.19604998860657233,random_balanced,135.8,121.75,0.8266503668694908,0.6118293955254769,ambiguous,light,0.5,3,23,history_cost_context,light+medium
No grouping,0.7243355991373773,5857.5,59.90760084142437,31.24,1.0,0.0,4.1,0.5459999999999999,0.24625,1.0,1.0,12,0.19604998860657233,random_balanced,135.8,121.75,0.8266503668694908,0.6118293955254769,ambiguous,medium,0.25,3,23,history_cost_context,light+medium
CQI k-means,0.810223394351965,6331.770833333334,49.486454573068855,33.76944444444444,1.0,0.0,4.335416666666666,0.784,0.19416666666666665,0.9113941947186609,1.8,12,0.19604998860657233,random_balanced,135.8,121.75,0.8266503668694908,0.6118293955254769,ambiguous,medium,0.25,3,23,history_cost_context,light+medium
Resource-cost k-means,0.8082429300612066,6402.395833333334,55.52972857302781,34.146111111111104,1.0,0.0,4.420833333333333,0.6960000000000001,0.21791666666666668,0.9653882165288218,1.5,12,0.19604998860657233,random_balanced,135.8,121.75,0.8266503668694908,0.6118293955254769,ambiguous,medium,0.25,3,23,history_cost_context,light+medium
Multi-feature k-means,0.8096775185135716,6469.895833333334,58.77198363568088,34.50611111111112,1.0,0.0,4.437499999999999,0.6759999999999999,0.21041666666666664,0.9265748866291217,1.55,12,0.19604998860657233,random_balanced,135.8,121.75,0.8266503668694908,0.6118293955254769,ambiguous,medium,0.25,3,23,history_cost_context,light+medium
Offline teacher,0.820808586911286,6212.187499999999,34.290277429685325,33.13166666666666,1.0,0.0,4.285416666666667,0.976,0.18166666666666664,0.9358960283521413,2.55,12,0.19604998860657233,random_balanced,135.8,121.75,0.8266503668694908,0.6118293955254769,ambiguous,medium,0.25,3,23,history_cost_context,light+medium
LE-GRA MVP,0.8104346712129648,5888.229166666666,39.09219658303998,31.403888888888883,1.0,0.0,4.116666666666667,0.8540000000000001,0.15958333333333335,0.9393477990550334,2.1,12,0.19604998860657233,random_balanced,135.8,121.75,0.8266503668694908,0.6118293955254769,ambiguous,medium,0.25,3,23,history_cost_context,light+medium
