scenario_id,timestamp_s,serving_gnb,user_count,ue_ids
simu5g_00000754,39.0,gnb_2,3,31|6|7
simu5g_00000756,39.1,gnb_2,3,31|6|7
simu5g_00000758,39.2,gnb_2,3,31|6|7
simu5g_00000760,39.3,gnb_2,3,31|6|7
simu5g_00000762,39.4,gnb_2,3,31|6|7
simu5g_00000764,39.5,gnb_2,3,31|6|7
simu5g_00000766,39.6,gnb_2,3,31|6|7
simu5g_00000768,39.7,gnb_2,2,6|7
simu5g_00000770,39.8,gnb_2,2,6|7
simu5g_00000772,39.9,gnb_2,2,6|7
simu5g_00000774,40.0,gnb_2,2,6|7
simu5g_00000776,40.1,gnb_2,2,6|7
simu5g_00000778,40.2,gnb_2,2,6|7
simu5g_00000780,40.3,gnb_2,2,6|7
simu5g_00000782,40.4,gnb_2,2,6|7
simu5g_00000784,40.5,gnb_2,2,6|7
simu5g_00000786,40.6,gnb_2,2,6|7
simu5g_00000788,40.7,gnb_2,2,6|7
simu5g_00000790,40.8,gnb_2,2,6|7
simu5g_00000792,40.9,gnb_2,2,6|7
simu5g_00000794,41.0,gnb_2,2,6|7
simu5g_00000796,41.1,gnb_2,2,6|7
simu5g_00000798,41.2,gnb_2,2,6|7
simu5g_00000800,41.3,gnb_2,2,6|7
simu5g_00000802,41.4,gnb_2,2,6|7
simu5g_00000804,41.5,gnb_2,2,6|7
simu5g_00000806,41.6,gnb_2,2,6|7
simu5g_00000808,41.7,gnb_2,2,6|7
simu5g_00000810,41.8,gnb_2,2,6|7
simu5g_00000812,41.9,gnb_2,2,6|7
simu5g_00000814,42.0,gnb_2,2,6|7
simu5g_00000816,42.1,gnb_2,2,6|7
simu5g_00000818,42.2,gnb_2,2,6|7
simu5g_00000820,42.3,gnb_2,2,6|7
simu5g_00000822,42.4,gnb_2,2,6|7
simu5g_00000824,42.5,gnb_2,2,6|7
simu5g_00000826,42.6,gnb_2,2,6|7
simu5g_00000828,42.7,gnb_2,2,6|7
simu5g_00000830,42.8,gnb_2,2,6|7
simu5g_00000832,42.9,gnb_2,2,6|7
simu5g_00000834,43.0,gnb_2,2,6|7
simu5g_00000836,43.1,gnb_2,2,6|7
simu5g_00000838,43.2,gnb_2,2,6|7
simu5g_00000840,43.3,gnb_2,2,6|7
simu5g_00000842,43.4,gnb_2,2,6|7
simu5g_00000844,43.5,gnb_2,2,6|7
simu5g_00000846,43.6,gnb_2,2,6|7
simu5g_00000848,43.7,gnb_2,2,6|7
simu5g_00000850,43.8,gnb_2,2,6|7
simu5g_00000852,43.9,gnb_2,2,6|7
simu5g_00000854,44.0,gnb_2,2,6|7
simu5g_00000856,44.1,gnb_2,2,6|7
simu5g_00000858,44.2,gnb_2,2,6|7
simu5g_00000860,44.3,gnb_2,2,6|7
simu5g_00000862,44.4,gnb_2,2,6|7
simu5g_00000864,44.5,gnb_2,2,6|7
simu5g_00000866,44.6,gnb_2,2,6|7
simu5g_00000868,44.7,gnb_2,2,6|7
simu5g_00000870,44.8,gnb_2,2,6|7
simu5g_00000872,44.9,gnb_2,2,6|7
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
